# id	file_path	transparent_color_r	g	b
[TEXTURES]
30	Resources\map\map2\tileset.png	255	255	255
10	textures\simon.png	116	116	116
20	textures\ItemsObjects.png	116	116	116
21	textures\Enemies.png	116	116	116
22	textures\Enemies2.png	116	116	116

#Map
[MAP]
30	Resources\map\map2\tileset.txt

# id	left	top	right	bottom	texture_id
[SPRITES]
#Idle 					
20050	1043	80	1065	102	10
20051	1068	80	1090	102	10
#ascend left					
20052	1095	79	1119	110	10
20053	1120	79	1136	110	10
20054	1139	80	1161	110	10
20055	1164	80	1186	110	10
20056	1189	80	1211	110	10
20057	1214	80	1236	110	10
#descend left					
20058	1214	79	1238	110	10
20059	1266	79	1282	110	10
20060	1285	80	1307	110	10
20061	1310	80	1332	110	10
20062	1335	80	1357	110	10
20063	1360	80	1382	110	10
#standing right					
20064	777	79	801	109	10
20065	760	79	776	109	10
20066	735	80	757	109	10
20067	710	80	732	109	10
20068	685	80	707	109	10
20069	660	80	682	109	10
#ducking right					
20070	631	79	655	102	10
20071	614	79	630	102	10
20072	589	80	611	102	10
20073	564	80	586	102	10
20074	539	80	561	102	10
20075	514	80	536	102	10
#ascend right					
20076	485	79	509	110	10
20077	468	79	484	110	10
20078	443	80	465	110	10
20079	418	80	440	110	10
20080	393	80	415	110	10
20081	369	80	391	110	10
#descend right					
20082	339	79	363	110	10
20083	322	79	338	110	10
20084	297	80	319	110	10
20085	272	80	294	110	10
20086	247	80	269	110	10
20087	222	80	244	110	10
#whip1 left					
20088	803	477	811	509	10
20089	812	477	828	501	10
20090	829	477	853	493	10
#whip1 right					
20091	793	477	801	509	10
20092	776	477	792	501	10
20093	751	477	775	493	10
#whip2 left					
20094	854	485	862	509	10
20095	863	485	871	509	10
20096	872	485	880	509	10
20097	881	485	889	509	10
20098	890	482	906	501	10
20099	907	482	923	501	10
20100	924	482	940	501	10
20101	941	482	957	501	10
20102	958	487	982	493	10
20103	983	487	1023	493	10
20104	1024	487	1064	493	10
20105	1065	487	1105	493	10
20106	1106	487	1146	493	10
#whip2 right					
20107	742	485	750	509	10
20108	733	485	741	509	10
20109	724	485	732	509	10
20110	715	485	723	509	10
20111	698	482	714	501	10
20112	681	482	697	501	10
20113	664	482	680	501	10
20114	647	482	663	501	10
20115	622	487	646	493	10
20116	581	487	621	493	10
20117	549	487	589	493	10
20118	499	487	539	493	10
20119	458	487	498	493	10

#heart							
10003	27	1	43	17	20
#whip							
10004	1	1	17	17	20
#dagger							
10005	1	18	17	34	20
#moneybag							
10006	44	1	60	17	20
#candle					
10007	157	1	165	17	20
10015	166	1	174	17	20
#heartsmall					
10008	18	1	26	17	20
#Boomberang					
10009	69	18	85	34	20
10010	52	18	68	34	20
10111	86	18	102	34	20
#crown					
10011	69	35	85	51	20
10012	86	35	102	51	20
10013	103	35	119	51	20
10014	120	35	136	51	20
#water
10016	35	18	51	34	20
#BlackKnight					
30001	399	29	415	60	21
30002	416	28	432	60	21
30003	433	29	449	60	21
#KnightRight					
30009	59	29	75	60	22
30010	42	28	58	60	22
30011	25	29	41	60	22

#BatLEFT					
30005	254	11	270	27	21
30006	271	11	287	27	21
30007	288	11	304	27	21
#BatRight
30012	204	11	220	27	22
30013	187	11	203	27	22
30014	170	11	186	27	22
#BatIdle					
30008	237	11	253	27	21

# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]

#idle
700	20001	100
701	20002	100	20003	100	20004	200
702	20005	10000
703	20006	100	20007	100
704	20008	300	20009	300
705	20010	100
706	20011	100	20012	100
707	20013	100
708	20014	100	20015	100	20016	100	20017	100	20018	100
709	20019	100
710	20020	100	20021	100	20022	100
711	20023	10000
712	20024	300	20025	300
713	20026	300	20027	300
714	20028	100
715	20029	100	20030	100
716	20031	100
717	20032	100	20033	100	20034	100	20035	100	20036	100
718	20024	300
719	20026	300
1720	20008	300

#brick
800	50000	1000
#torch
801	10001	300	10002	300
#heart
802	10003	300
#whip
803	10004	300
#dagger
804	10005	300
#moneybag
805	10006	300
#candle
806	10007	100	10015	100
#heartsmall					
807	10008	100
#axe
808	10009	100	10010	100
#crown					
809	10011	100	10012	100	10013	100	10014	100
#BlackKnight					
810	30001	400	30002	400	30003	400
#BatLEFT					
811	30005	100	30006	100	30007	100
#BATRIGHT
814	30012	100	30013	100	30014	100
#BatIdle					
812	30008	100
#KnightRIGHT	
813	30009	400	30010	400	30011	400
#water
815	10016	300
#boomber
816	10009	100
#boomberang
850	10009	100	10010	100	10111	100


#standing left
720	20040	100	20041	100	20042	100	20043	100	20044	100	20045	200
#ducking left
721	20046	100	20047	100	20048	100	20049	100	20050	100	20051	200
#ascend left
722	20052	100	20053	100	20054	100	20055	100	20056	100	20057	200
#desend left
723	20058	100	20059	100	20060	100	20061	100	20062	100	20063	200
#standing right
724	20064	100	20065	100	20066	100	20067	100	20068	100	20069	200
#ducking right
725	20070	100	20071	100	20072	100	20073	100	20074	100	20075	200
#ascend right
726	20076	100	20077	100	20078	100	20079	100	20080	100	20081	200
#descend right
727	20082	100	20083	100	20084	100	20085	100	20086	100	2008	200
#whip1 left
728	20088	100	20089	100	20090	200
#whip1 right
729	20091	2000	20092	2000	20093	2000
#whip 2 left
730	20094	250	20095	250	20096	250	20097	250	20098	250	20099	250	20100	250	20101	250	20102	250	20103	250	20104	250	20105	250	20106	250
#whip 2 right
731	20107	250	20108	250	20109	250	20110	250	20111	250	20112	250	20113	250	20114	250	20115	250	20116	250	20117	250	20118	250	20119	250


#
# id	ani1	ani2	ani3
#
[ANIMATION_SETS]

#simon
2	700	701	702	703	704	705	706	707	708	709	710	711	712	713	714	715	717	720	721	722:19	723	724	725	726	727	718	719	1720

#brick
3	800
#torch
4	801
#whip
5	728	729	730	731
#item
#6	802	803	804	805	807	815	816
6	802	803	804	805	807	815	816	817
#bat
7	812	811	814
#knight
8	810	813
#candle
9	806
#Boomberang
30	850
[OBJECTS]
# Id	type	x	y	ani_set_id	extra_settings per object type
# type:  1 = Brick, 2 = Torch,  4=simon, 3= whip, 5=Item, 6=stairtop, 7=stairbot, 8=bat,9=knight
#simon
0	4	50	100	2
#bat
100	8	42	16	7	130	160	30	60
#knight
201	9	42	48	8	48	150

# BRICK 
101	1	0	0	3
102	1	224	0	3
103	1	240	0	3
104	1	0	16	3
105	1	224	16	3
106	1	240	16	3
107	1	0	32	3
108	1	224	32	3
109	1	240	32	3
110	1	0	48	3
111	1	224	48	3
112	1	240	48	3
113	1	0	64	3
114	1	16	64	3
115	1	224	64	3
116	1	240	64	3
117	1	0	80	3
118	1	16	80	3
119	1	32	80	3
120	1	48	80	3
121	1	64	80	3
122	1	80	80	3
123	1	96	80	3
124	1	112	80	3
125	1	128	80	3
126	1	144	80	3
127	1	224	80	3
128	1	240	80	3
129	1	0	96	3
130	1	16	96	3
131	1	224	96	3
132	1	240	96	3
133	1	0	112	3
134	1	16	112	3
135	1	176	112	3
136	1	192	112	3
137	1	208	112	3
138	1	224	112	3
139	1	240	112	3
140	1	224	128	3
141	1	240	128	3
142	1	224	144	3
143	1	240	144	3
144	1	224	160	3
145	1	240	160	3
146	1	0	176	3
147	1	16	176	3
148	1	32	176	3
149	1	48	176	3
150	1	64	176	3
151	1	80	176	3
152	1	96	176	3
153	1	112	176	3
154	1	128	176	3
155	1	144	176	3
156	1	160	176	3
157	1	176	176	3
158	1	192	176	3
159	1	208	176	3
160	1	224	176	3
161	1	240	176	3


#stair
# Id	type	x	y	ani_set_id	nx
170	6	162	82	-1	1	
171	7	104	169	-1	1
172	7	72	78	-1	1

#whip
30	3	0	0	5
#candle
31	10	152	8	9	51
32	10	207	116	9	52
33	10	79	116	9	53
#item
51	5	152	8	6	4
52	5	207	116	6	0
53	5	79	116	6	6

# --- SCENE PORTAL ----
#ID	 type	l	t	ani_set_id	r	b	scene_id
550	50	100	0	0	150	6	3
